name,description,value
신중한 여행자,"당신은 여행 전 일정표를 만들어 매일의 일정을 미리 정해 두는 편이에요. 미리 준비한 일정표에는 여유자금, 만약을 대비한  두번째 플랜, 준비물 체크리스트 등 여행을 완벽하게 이끌어 갈  준비 된 모습을 보여주죠. 당신과 함께 하는 동행은 어떤 문제가  생겨도 여행을 망치는 일은 없을거에요.  ",ILSJ
신중한 여행자,"당신은 여행 전 일정표를 만들어 매일의 일정을 미리 정해 두는 편이에요. 미리 준비한 일정표에는 여유자금, 만약을 대비한  두번째 플랜, 준비물 체크리스트 등 여행을 완벽하게 이끌어 갈  준비 된 모습을 보여주죠. 당신과 함께 하는 동행은 어떤 문제가  생겨도 여행을 망치는 일은 없을거에요.  ",ILCJ
활동적인 여행자,당신은 굳센 체력을 바탕으로 여행에 모든 것을 몸소 느끼는  편이에요. 전에 경험해 보지 못한 일들을 즐기며 성장하는 걸  좋아해요. 새로운 시각으로 여행에 임하기 때문에 나만의 여행 계획으로 더 많은 경험과 다양한 도전을 동행에게 제안하고 더욱 의미있는 여행이 되도록 도움을 줘요.,ELSJ
활동적인 여행자,당신은 굳센 체력을 바탕으로 여행에 모든 것을 몸소 느끼는  편이에요. 전에 경험해 보지 못한 일들을 즐기며 성장하는 걸  좋아해요. 새로운 시각으로 여행에 임하기 때문에 나만의 여행 계획으로 더 많은 경험과 다양한 도전을 동행에게 제안하고 더욱 의미있는 여행이 되도록 도움을 줘요.,ELCJ
철두철미한 여행자,"당신은 여행을 떠나기 전 물품, 예산, 시간, 정보 수집 어느 것  하나 놓치지 않는 여행 준비 베테랑이에요. 사전 준비를 통해  완벽한 계획을 세우고 동행이 위기상황에 놓이는 경우가 생기면 듬직하게 챙겨주는 든든함이 매력이에요. 예상치 못한 문제를  최소화하고 효율적인 여행 스타일을 동행에게 보여준답니다.",ISFJ
철두철미한 여행자,"당신은 여행을 떠나기 전 물품, 예산, 시간, 정보 수집 어느 것  하나 놓치지 않는 여행 준비 베테랑이에요. 사전 준비를 통해  완벽한 계획을 세우고 동행이 위기상황에 놓이는 경우가 생기면 듬직하게 챙겨주는 든든함이 매력이에요. 예상치 못한 문제를  최소화하고 효율적인 여행 스타일을 동행에게 보여준답니다.",IFCJ
사교적인 여행자,당신은 새로운 사람들과 쉽게 어울리고 대화를 즐기는 편이에요. 여행을 계획적으로 진행하지만 동행이 준비하고 계획한게 있다면 그걸 따라가주는 배려심도 가지고 있어요. 문제가 생길때는 긍정적인 마인드를 바탕으로 쉽게 해결책을 제시하기 때문에 동행에게 편안함을 안겨줘요. ,EFSJ
사교적인 여행자,당신은 새로운 사람들과 쉽게 어울리고 대화를 즐기는 편이에요. 여행을 계획적으로 진행하지만 동행이 준비하고 계획한게 있다면 그걸 따라가주는 배려심도 가지고 있어요. 문제가 생길때는 긍정적인 마인드를 바탕으로 쉽게 해결책을 제시하기 때문에 동행에게 편안함을 안겨줘요. ,EFCJ
유동적인 여행자,당신은 여행 전에 대략적인 일정과 목적지만을 정해 두고  세부적인사항은 여행 중에 결정하는 편이에요. 정해진 일정에  얽매이지 않고 상황에 따라 조절하는 유연성을 가지고 있는게  특징이라 여행을 다니며 스트레스를 받는 일이 자주 있지 않아요.  다른 동행과 어울리며 새로운 인연을 만드는데 능숙해요.,EFSP
유동적인 여행자,당신은 여행 전에 대략적인 일정과 목적지만을 정해 두고  세부적인사항은 여행 중에 결정하는 편이에요. 정해진 일정에  얽매이지 않고 상황에 따라 조절하는 유연성을 가지고 있는게  특징이라 여행을 다니며 스트레스를 받는 일이 자주 있지 않아요.  다른 동행과 어울리며 새로운 인연을 만드는데 능숙해요.,EFCP
자유로운 여행자,당신은 여행을 시작함에 있어서 사전에 계획을 세우기 보단 즉흥 적으로 여행 중에 즉석에서 결정을 내리는 편이에요. 여행을 하며 순간적인 감정과 상황에 따라 여행을 즐기기 때문에 여행지의 참 모습을 경험하고 갑자기 생긴 상황에도 스트레스를 받지 않아요. 동행을 자연스럽게 만나며 풍부한 경험을 추구하는 스타일이에요.  ,IFSP
자유로운 여행자,당신은 여행을 시작함에 있어서 사전에 계획을 세우기 보단 즉흥 적으로 여행 중에 즉석에서 결정을 내리는 편이에요. 여행을 하며 순간적인 감정과 상황에 따라 여행을 즐기기 때문에 여행지의 참 모습을 경험하고 갑자기 생긴 상황에도 스트레스를 받지 않아요. 동행을 자연스럽게 만나며 풍부한 경험을 추구하는 스타일이에요.  ,IFCP
모험적인 여행자,"당신은 현지 상황에 맞게 즉흥적으로 일정을 조정하고 예상치  못한 도전과 모험을 즐기며, 계획의 유연성을 중요시하는  편이에요. 체력과 준비성이 뛰어나기 때문에 긴급 상황에서도  당황하지 않고 즐거운 여행을 이끌어 나갈 수 있어요. 일상에서  벗어나 색다른 경험을 추구하며 동행을 만나는 것을 즐겨요.",ELSP
모험적인 여행자,"당신은 현지 상황에 맞게 즉흥적으로 일정을 조정하고 예상치  못한 도전과 모험을 즐기며, 계획의 유연성을 중요시하는  편이에요. 체력과 준비성이 뛰어나기 때문에 긴급 상황에서도  당황하지 않고 즐거운 여행을 이끌어 나갈 수 있어요. 일상에서  벗어나 색다른 경험을 추구하며 동행을 만나는 것을 즐겨요.",ELCP
자율적인 여행자,"당신은 스스로의 결정과 선택을 중요시하며,독립적인 방식으로 여행을 즐기는 편이에요. 함께 하는 여행에서의 매력도 느끼지만 개인적인 시간 또한 충분히 가지려고 해요. 자신의 여행 스타일에 자신감이 있기 때문에 여행을 주저하는 동행에게 여행에 대한 즐거움이 무엇인지 알려줄 수 있어요.",ILSP
자율적인 여행자,"당신은 스스로의 결정과 선택을 중요시하며,독립적인 방식으로 여행을 즐기는 편이에요. 함께 하는 여행에서의 매력도 느끼지만 개인적인 시간 또한 충분히 가지려고 해요. 자신의 여행 스타일에 자신감이 있기 때문에 여행을 주저하는 동행에게 여행에 대한 즐거움이 무엇인지 알려줄 수 있어요.",ILCP
